sample,organ,part,result step 1,label step 1,result step 2,label step 2
BDMAP_00004457,kidneys,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00002407,kidneys,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00001045,kidneys,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00001230,kidneys,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00003411,kidneys,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00001396,kidneys,errors_beta_full,present,present,Incorrect,Incorrect
BDMAP_00000233,kidneys,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00000003,kidneys,errors_beta_full,present,present,Incorrect,Incorrect
BDMAP_00003976,kidneys,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00001483,kidneys,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00001647,kidneys,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00000320,kidneys,errors_beta_full,present,present,Incorrect,Incorrect
BDMAP_00001636,kidneys,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00000219,kidneys,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00005028,pancreas,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00001045,pancreas,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00004236,pancreas,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00001045,gall_bladder,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00003935,gall_bladder,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00001045,postcava,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00000320,postcava,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00001396,postcava,errors_beta_full,present,present,Incorrect,Incorrect
BDMAP_00001636,postcava,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00004737,postcava,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00004236,postcava,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00004236,stomach,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00002748,stomach,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00003236,spleen,errors_beta_full,no,present,Incorrect,Incorrect
BDMAP_00004486,spleen,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00000118,spleen,errors_beta_full,no,present,Incorrect,Incorrect
BDMAP_00000031,aorta,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00004290,aorta,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00004236,aorta,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00001045,aorta,errors_beta_full,present,no,Correct,Incorrect
BDMAP_00001483,aorta,errors_beta_full,present,present,Incorrect,Incorrect
BDMAP_00004834,aorta,errors_beta_full,present,present,Incorrect,Incorrect
BDMAP_00000003,aorta,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00001230,aorta,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00000233,aorta,errors_beta_full,present,present,Incorrect,Incorrect
BDMAP_00004457,aorta,errors_beta_full,present,present,Incorrect,Incorrect
BDMAP_00003935,aorta,errors_beta_full,present,present,Incorrect,Incorrect
BDMAP_00003976,aorta,errors_beta_full,present,present,Correct,Incorrect
BDMAP_00001808,liver,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00001992,liver,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00001537,liver,errors_beta_full,no,present,Incorrect,Incorrect
BDMAP_00001032,liver,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00002316,liver,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00001399,liver,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00001095,liver,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00001044,liver,errors_beta_full,no,present,Correct,Incorrect
BDMAP_00002727,liver,errors_beta_full,no,present,Incorrect,Incorrect
BDMAP_00003467,liver,errors_beta_full,no,present,Incorrect,Incorrect
BDMAP_00003023,liver,errors_beta_full,no,present,Correct,Incorrect
